source_file,member_name,state,district,transaction_date,transaction_type,asset_name,ticker_symbol,amount_range
20000788.pdf,Hon. Jeff Duncan,SC,03,2023-08-25,S,Colgate-Palmolive Company Common Stock,CL,"$1,001 - $15,000"
20021327.pdf,Hon. Chellie Pingree,ME,01,2023-10-10,S (partial),United States Treasury Notes,,"$15,001 - $50,000"
20022490.pdf,Hon. William R. Keating,MA,09,2023-02-13,P,Alphabet Inc. - Class A,GOOGL,"$1,001 - $15,000"
20022861.pdf,Hon. Mike Flood,NE,01,2023-04-24,S,Midwest Banc Holding Company,,"$1,001 - $15,000"
20022917.pdf,Hon. Katherine M. Clark,MA,05,2022-04-08,E,"Warner Bros. Discovery, Inc. - Series A",WBD,"$1,001 - $15,000"
20023022.pdf,"Hon. Neal Patrick MD, Facs Dunn",FL,02,2023-05-05,P,Cadence Bank 5.50% Series A,CADE$A,"$1,001 - $15,000"
20023077.pdf,Hon. Jonathan Jackson,IL,01,2023-05-26,P,ASML Holding N.V. - New York Registry Shares,ASML,"$15,001 - $50,000"
20023178.pdf,Hon. Bradley S. Schneider,IL,10,2023-06-27,P,Banner Fund V,,"$1,001 - $15,000"
20023381.pdf,Hon. Adrian Smith,NE,03,2023-07-17,P,CarterBaldwin,,"$15,001 - $50,000"
20023624.pdf,Hon. Seth Moulton,MA,06,2023-08-18,S (partial),"Activision Blizzard, Inc",ATVI,"$500,001 - $1,000,000"
20023950.pdf,Hon. Katherine M. Clark,MA,05,2023-10-09,S,Coca-Cola Company,KO,"$15,001 - $50,000"
20023965.pdf,Hon. Jonathan Jackson,IL,01,2023-10-11,S,Graphic Packaging Holding Company,GPK,"$15,001 - $50,000"
20024369.pdf,Hon. Doris O. Matsui,CA,07,2024-01-16,P,U.S. Treasury Note due 12/15/2024,,"$500,001 - $1,000,000"
20024810.pdf,Hon. Tracey Robert Mann,KS,01,2024-04-04,P,TripleBlind,,"$15,001 - $50,000"
20024836.pdf,Hon. Felix Barry Moore,AL,02,2024-03-30,P,Bitcoin,,"$1,001 - $15,000"
20024923.pdf,Hon. Nanette Barragan,CA,44,2023-11-17,P,U.S. Treasury Bond,,"$1,001 - $15,000"
20025240.pdf,Hon. Dean Phillips,MN,03,2024-05-21,P,"Arcadia Medal Investors, LP",,"$500,001 - $1,000,000"
20025722.pdf,Hon. Marjorie Taylor Mrs Greene,GA,14,2024-08-21,P,Alphabet Inc. - Class C Capital Stock,GOOG,"$1,001 - $15,000"
20025913.pdf,Hon. Darrell E. Issa,CA,48,2024-02-05,S,United States Treasury Bills CUSIP 912797GM3 due 2/8/24,,"$1,000,001 - $5,000,000"
20026191.pdf,Hon. Richard W. Allen,GA,12,2024-10-09,P,US Treasury Bill 91282CJR3,,"$100,001 - $250,000"
