parser,model,overall
marker,gpt-5.4,0.9976
pymupdf,claude-sonnet-4-6,0.9974
unstructured,deepseek-chat,0.9974
unstructured,claude-sonnet-4-6,0.9971
marker,gpt-5.4-mini,0.9968
marker,deepseek-chat,0.9964
marker,claude-sonnet-4-6,0.9957
marker,claude-haiku-4-5,0.9952
pymupdf,deepseek-chat,0.9944
unstructured,gemini-2.5-flash,0.9931
pymupdf,gemini-2.5-flash,0.9922
marker,gpt-5,0.9912
pymupdf,gpt-4.1-mini,0.9897
unstructured,gpt-4.1-mini,0.9896
marker,gpt-4.1-mini,0.9885
marker,gpt-4.1,0.9860
marker,gemini-2.5-flash,0.9821
marker,gpt-5-mini,0.9819
marker,llama-v3p3-70b-instruct,0.9723
