parser,model,overall
marker,gpt-4.1,0.9670
marker,gpt-5,0.9502
marker,claude-sonnet-4-6,0.9402
marker,gpt-5-mini,0.9402
unstructured,claude-sonnet-4-6,0.9243
pymupdf,claude-sonnet-4-6,0.9195
marker,gpt-4.1-mini,0.9044
marker,claude-haiku-4-5,0.8873
marker,deepseek-chat,0.8738
pymupdf,gpt-4.1-mini,0.8729
unstructured,deepseek-chat,0.8441
marker,gpt-5.4,0.8390
marker,gpt-5.4-mini,0.8369
pymupdf,deepseek-chat,0.8307
unstructured,gpt-4.1-mini,0.8142
marker,gemini-2.5-flash,0.8141
pymupdf,gemini-2.5-flash,0.8019
unstructured,gemini-2.5-flash,0.7954
marker,llama-v3p3-70b-instruct,0.7677
